StartTime,EndTime,TotalProductionCost,Emissions,ActivatedBoilers
11/07/2023 08:00:00,11/07/2023 09:00:00,755.39,1152,GM:1.8
11/07/2023 09:00:00,11/07/2023 10:00:00,890,382.7,GB:1.78
11/07/2023 10:00:00,11/07/2023 11:00:00,915,393.45,GB:1.83
11/07/2023 11:00:00,11/07/2023 12:00:00,960,412.8,GB:1.92
11/07/2023 12:00:00,11/07/2023 13:00:00,912.6,0,EK:1.93
11/07/2023 13:00:00,11/07/2023 14:00:00,760.05,0,EK:1.91
11/07/2023 14:00:00,11/07/2023 15:00:00,697.34,0,EK:1.72
11/07/2023 15:00:00,11/07/2023 16:00:00,793.92,0,EK:1.64
11/07/2023 16:00:00,11/07/2023 17:00:00,795,341.85,GB:1.59
11/07/2023 17:00:00,11/07/2023 18:00:00,765,328.95,GB:1.53
11/07/2023 18:00:00,11/07/2023 19:00:00,738.62,1030.4,GM:1.61
11/07/2023 19:00:00,11/07/2023 20:00:00,513.42,1081.6,GM:1.69
11/07/2023 20:00:00,11/07/2023 21:00:00,329.85,1056,GM:1.65
11/07/2023 21:00:00,11/07/2023 22:00:00,560.13,1036.8,GM:1.62
11/07/2023 22:00:00,11/07/2023 23:00:00,671.8,998.4,GM:1.56
11/07/2023 23:00:00,12/07/2023 00:00:00,810,348.3,GB:1.62
12/07/2023 00:00:00,12/07/2023 01:00:00,850,365.5,GB:1.7
12/07/2023 01:00:00,12/07/2023 02:00:00,830,356.9,GB:1.66
12/07/2023 02:00:00,12/07/2023 03:00:00,810,348.3,GB:1.62
12/07/2023 03:00:00,12/07/2023 04:00:00,775,333.25,GB:1.55
12/07/2023 04:00:00,12/07/2023 05:00:00,790,339.7,GB:1.58
12/07/2023 05:00:00,12/07/2023 06:00:00,805,346.15,GB:1.61
12/07/2023 06:00:00,12/07/2023 07:00:00,830,356.9,GB:1.66
12/07/2023 07:00:00,12/07/2023 08:00:00,789.04,1120,GM:1.75
12/07/2023 08:00:00,12/07/2023 09:00:00,756.52,1139.2,GM:1.78
12/07/2023 09:00:00,12/07/2023 10:00:00,880,378.4,GB:1.76
12/07/2023 10:00:00,12/07/2023 11:00:00,880,378.4,GB:1.76
12/07/2023 11:00:00,12/07/2023 12:00:00,835.71,0,EK:1.94
12/07/2023 12:00:00,12/07/2023 13:00:00,314.4,0,EK:1.86
12/07/2023 13:00:00,12/07/2023 14:00:00,262.95,0,EK:1.79
12/07/2023 14:00:00,12/07/2023 15:00:00,315.87,0,EK:1.62
12/07/2023 15:00:00,12/07/2023 16:00:00,391.73,0,EK:1.55
12/07/2023 16:00:00,12/07/2023 17:00:00,420.33,0,EK:1.55
12/07/2023 17:00:00,12/07/2023 18:00:00,579.33,0,EK:1.53
12/07/2023 18:00:00,12/07/2023 19:00:00,663.7,0,EK:1.56
12/07/2023 19:00:00,12/07/2023 20:00:00,795,341.85,GB:1.59
12/07/2023 20:00:00,12/07/2023 21:00:00,511.26,1030.4,GM:1.61
12/07/2023 21:00:00,12/07/2023 22:00:00,637.14,1030.4,GM:1.61
12/07/2023 22:00:00,12/07/2023 23:00:00,653.27,1068.8,GM:1.67
12/07/2023 23:00:00,13/07/2023 00:00:00,762.34,1062.4,GM:1.66
13/07/2023 00:00:00,13/07/2023 01:00:00,835,359.05,GB:1.67
13/07/2023 01:00:00,13/07/2023 02:00:00,825,354.75,GB:1.65
13/07/2023 02:00:00,13/07/2023 03:00:00,800,344,GB:1.6
13/07/2023 03:00:00,13/07/2023 04:00:00,775,333.25,GB:1.55
13/07/2023 04:00:00,13/07/2023 05:00:00,800,344,GB:1.6
13/07/2023 05:00:00,13/07/2023 06:00:00,840,361.2,GB:1.68
13/07/2023 06:00:00,13/07/2023 07:00:00,855,367.65,GB:1.71
13/07/2023 07:00:00,13/07/2023 08:00:00,851.89,1139.2,GM:1.78
13/07/2023 08:00:00,13/07/2023 09:00:00,877.3,1305.6,GM:2.04
13/07/2023 09:00:00,13/07/2023 10:00:00,1010,434.3,GB:2.02
13/07/2023 10:00:00,13/07/2023 11:00:00,748.4,0,EK:1.8
13/07/2023 11:00:00,13/07/2023 12:00:00,703.99,0,EK:1.73
13/07/2023 12:00:00,13/07/2023 13:00:00,723.14,0,EK:1.72
13/07/2023 13:00:00,13/07/2023 14:00:00,645.98,0,EK:1.62
13/07/2023 14:00:00,13/07/2023 15:00:00,645.98,0,EK:1.62
13/07/2023 15:00:00,13/07/2023 16:00:00,669.05,0,EK:1.67
13/07/2023 16:00:00,13/07/2023 17:00:00,624.73,0,EK:1.61
13/07/2023 17:00:00,13/07/2023 18:00:00,663.27,0,EK:1.65
13/07/2023 18:00:00,13/07/2023 19:00:00,771.67,0,EK:1.65
13/07/2023 19:00:00,13/07/2023 20:00:00,750.78,1068.8,GM:1.67
13/07/2023 20:00:00,13/07/2023 21:00:00,611.35,1075.2,GM:1.68
13/07/2023 21:00:00,13/07/2023 22:00:00,525.46,1036.8,GM:1.62
13/07/2023 22:00:00,13/07/2023 23:00:00,596.65,1030.4,GM:1.61
13/07/2023 23:00:00,14/07/2023 00:00:00,744.29,1088,GM:1.7
14/07/2023 00:00:00,14/07/2023 01:00:00,855,367.65,GB:1.71
14/07/2023 01:00:00,14/07/2023 02:00:00,875,376.25,GB:1.75
14/07/2023 02:00:00,14/07/2023 03:00:00,830,356.9,GB:1.66
14/07/2023 03:00:00,14/07/2023 04:00:00,820,352.6,GB:1.64
14/07/2023 04:00:00,14/07/2023 05:00:00,850,365.5,GB:1.7
14/07/2023 05:00:00,14/07/2023 06:00:00,890,382.7,GB:1.78
14/07/2023 06:00:00,14/07/2023 07:00:00,825.73,1152,GM:1.8
14/07/2023 07:00:00,14/07/2023 08:00:00,816.56,1139.2,GM:1.78
14/07/2023 08:00:00,14/07/2023 09:00:00,910,391.3,GB:1.82
14/07/2023 09:00:00,14/07/2023 10:00:00,950,408.5,GB:1.9
14/07/2023 10:00:00,14/07/2023 11:00:00,930,399.9,GB:1.86
14/07/2023 11:00:00,14/07/2023 12:00:00,940,404.2,GB:1.88
14/07/2023 12:00:00,14/07/2023 13:00:00,915,393.45,GB:1.83
14/07/2023 13:00:00,14/07/2023 14:00:00,880,378.4,GB:1.76
14/07/2023 14:00:00,14/07/2023 15:00:00,815,350.45,GB:1.63
14/07/2023 15:00:00,14/07/2023 16:00:00,785,337.55,GB:1.57
14/07/2023 16:00:00,14/07/2023 17:00:00,775,333.25,GB:1.55
14/07/2023 17:00:00,14/07/2023 18:00:00,770,331.1,GB:1.54
14/07/2023 18:00:00,14/07/2023 19:00:00,704.67,998.4,GM:1.56
14/07/2023 19:00:00,14/07/2023 20:00:00,485.82,998.4,GM:1.56
14/07/2023 20:00:00,14/07/2023 21:00:00,497.57,1017.6,GM:1.59
14/07/2023 21:00:00,14/07/2023 22:00:00,632.62,1004.8,GM:1.57
14/07/2023 22:00:00,14/07/2023 23:00:00,775,333.25,GB:1.55
14/07/2023 23:00:00,15/07/2023 00:00:00,810,348.3,GB:1.62
